Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWR Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
0.0.0.0-255.255.255.255-68-67-17,0.0.0.0,68,255.255.255.255,67,17,18/07/2019 08:36:58 PM,79026700,7,0,2030.0,0.0,296.0,289.0,290.0,2.645751311064592,0.0,0.0,0.0,0.0,25.687520799932173,0.0885776579308006,13171116.666666666,27768682.31431059,69655169.0,69879.0,79026700.0,13171116.666666666,27768682.31431059,69655169.0,69879.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,56,0,0.0885776579308006,0.0,289.0,296.0,289.875,2.4748737341529163,6.125,0,0,0,0,0,0,0,0,0.0,331.2857142857143,290.0,0.0,0,0,0,0,0,0,2,676,0,0,0,0,6,8,3295794.0,0.0,3295794.0,3295794.0,37830513.5,45006859.42595151,69655169.0,6005858.0,1
8.6.0.1-8.0.6.4-0-0-0,8.6.0.1,0,8.0.6.4,0,0,18/07/2019 08:36:55 PM,82212660,25,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3040894188316009,3425527.5000000005,13953177.469844442,68819457.0,1932.0,82212660.0,3425527.5000000005,13953177.469844442,68819457.0,1932.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.3040894188316009,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,12000031.0,0.0,12000031.0,12000031.0,68819457.0,0.0,68819457.0,68819457.0,1
192.168.3.10-239.2.11.71-53569-8662-17,192.168.3.10,53569,239.2.11.71,8662,17,18/07/2019 08:36:56 PM,7418352,3,0,152.0,0.0,52.0,48.0,50.66666666666666,2.309401076758503,0.0,0.0,0.0,0.0,20.489726020010917,0.4044024872370575,3709176.0,5245548.619652476,7418339.0,13.0,7418352.0,3709176.0,5245548.619652476,7418339.0,13.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,24,0,0.4044024872370575,0.0,48.0,52.0,50.0,2.309401076758502,5.3333333333333295,0,0,0,0,0,0,0,0,0.0,66.66666666666667,50.66666666666666,0.0,0,0,0,0,0,0,3,152,0,0,0,0,2,8,13.0,0.0,13.0,13.0,7418339.0,0.0,7418339.0,7418339.0,1
192.168.3.29-192.168.3.31-34788-9200-6,192.168.3.29,34788,192.168.3.31,9200,6,18/07/2019 08:37:04 PM,24299,2,2,2039.0,336.0,2039.0,0.0,1019.5,1441.7907268393703,336.0,0.0,168.0,237.58787847867995,97740.64776328244,164.6158278118441,8099.666666666666,13762.960485786964,23991.0,19.0,24299.0,24299.0,0.0,24299.0,24299.0,23991.0,23991.0,0.0,23991.0,23991.0,1,0,0,0,64,64,82.30791390592205,82.30791390592205,0.0,2039.0,882.8,1064.3376813774846,1132814.7,0,0,0,2,4,0,0,0,1.0,1103.5,1019.5,168.0,0,0,0,0,0,0,0,0,0,0,1444,6751,0,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
8.6.0.1-8.0.6.4-0-0-0,8.6.0.1,0,8.0.6.4,0,0,18/07/2019 08:42:50 PM,47998856,104,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1667183067863114,466008.3106796116,363508.4991608008,2213701.0,10.0,47998856.0,466008.3106796116,363508.4991608008,2213701.0,10.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,2.1667183067863114,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
0.0.0.0-255.255.255.255-68-67-17,0.0.0.0,68,255.255.255.255,67,17,18/07/2019 08:42:50 PM,47814692,38,0,11017.0,0.0,296.0,289.0,289.9210526315789,2.397989912150737,0.0,0.0,0.0,0.0,230.41035169692196,0.7947348066155063,1292288.9729729732,1205282.2339251195,5068282.0,28849.0,47814692.0,1292288.9729729732,1205282.2339251195,5068282.0,28849.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,304,0,0.7947348066155063,0.0,289.0,296.0,289.89743589743586,2.370818999005593,5.620782726045882,0,0,0,0,0,0,0,0,0.0,297.5263157894737,289.92105263157896,0.0,0,0,0,0,0,0,2,579,0,0,0,0,37,8,20653031.0,0.0,20653031.0,20653031.0,5068282.0,0.0,5068282.0,5068282.0,1
192.168.3.10-239.2.11.71-53569-8662-17,192.168.3.10,53569,239.2.11.71,8662,17,18/07/2019 08:43:03 PM,20004618,7,0,360.0,0.0,52.0,48.0,51.42857142857143,1.5118578920369088,0.0,0.0,0.0,0.0,17.995844759445042,0.3499192036558758,3334103.0,8166840.322128651,20004596.0,2.0,20004618.0,3334103.0,8166840.322128651,20004596.0,2.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,56,0,0.3499192036558758,0.0,48.0,52.0,51.5,1.4142135623730945,1.999999999999999,0,0,0,0,0,0,0,0,0.0,58.85714285714285,51.42857142857143,0.0,0,0,0,308,6,14000000,7,360,0,0,0,0,6,8,0.0,0.0,0.0,0.0,20004596.0,0.0,20004596.0,20004596.0,1
192.168.3.29-192.168.3.31-34788-9200-6,192.168.3.29,34788,192.168.3.31,9200,6,18/07/2019 08:43:05 PM,25056888,4,4,4078.0,670.0,2039.0,0.0,1019.5,1177.217198877647,337.0,0.0,167.5,193.4192337902309,189.4888144130269,0.3192734867953274,3579555.4285714286,9408103.268987676,24914831.0,12.0,25056888.0,8352296.0,14343718.821968349,24914831.0,7033.0,25056468.0,8352156.0,14344152.484537942,24915192.0,6690.0,1,0,0,0,128,128,0.1596367433976637,0.1596367433976637,0.0,2039.0,754.1111111111111,973.3234873931232,947358.6111111112,0,0,0,4,8,0,0,0,1.0,848.375,1019.5,167.5,0,0,0,0,0,0,4,4078,4,670,1444,6751,1,32,135024.0,0.0,135024.0,135024.0,24914831.0,0.0,24914831.0,24914831.0,1
0.0.0.0-255.255.255.255-68-67-17,0.0.0.0,68,255.255.255.255,67,17,18/07/2019 09:00:18 PM,-906352306,88,0,25537.0,0.0,296.0,289.0,290.1931818181817,2.6473059589185013,0.0,0.0,0.0,0.0,-28.17557789718913,-0.0970924875652051,-10417842.597701153,107345215.2496877,5227926.0,-1000047495.0,-906352306.0,-10417842.597701153,107345215.2496877,5227926.0,-1000047495.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,704,0,0.0,0.0,289.0,296.0,290.1797752808988,2.635258300919256,6.9445863125638425,0,0,0,0,0,0,0,0,0.0,293.47727272727275,290.1931818181818,0.0,0,0,0,1259,4,-3,2,654,0,0,0,0,87,8,17124194.666666668,11874528.863145532,23984934.0,3412671.0,5107222.25,80937.85953999936,5227926.0,5057366.0,1
8.6.0.1-8.0.6.4-0-0-0,8.6.0.1,0,8.0.6.4,0,0,18/07/2019 09:00:17 PM,-903605183,240,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.2656027261853366,-3780774.824267781,64974346.74942973,5058045.0,-1003998643.0,-903605183.0,-3780774.824267781,64974346.74942973,5058045.0,-1003998643.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,4336139.0,0.0,4336139.0,4336139.0,5058045.0,0.0,5058045.0,5058045.0,1
192.168.3.29-192.168.3.31-34788-9200-6,192.168.3.29,34788,192.168.3.31,9200,6,18/07/2019 09:00:30 PM,-925237849,8,8,8151.0,1338.0,2054.0,0.0,1018.875,1089.2637667578174,335.0,0.0,167.25000000000003,178.79817033260073,-10.255741278046225,-0.0172928507164864,-61682523.26666667,255752346.4774404,35051859.0,-985365464.0,-925237849.0,-132176835.5714286,376498267.4476203,35051859.0,-985365464.0,-925238253.0,-132176893.2857143,376498092.7313525,35052203.0,-985365093.0,1,0,0,0,256,256,0.0,0.0,0.0,2054.0,676.9411764705882,913.2361051905084,834000.1838235293,0,0,0,8,16,0,0,0,1.0,719.25,1018.875,167.25,0,0,0,4742,4,-4,4,4075,4,669,1444,6751,3,32,8087.0,0.0,8087.0,8087.0,30045440.0,7080145.648722348,35051859.0,25039021.0,1
192.168.3.10-239.2.11.71-53569-8662-17,192.168.3.10,53569,239.2.11.71,8662,17,18/07/2019 09:00:21 PM,-917423218,23,0,1180.0,0.0,56.0,48.0,51.30434782608695,2.3048325241602425,0.0,0.0,0.0,0.0,-1.2862111802363387,-0.0250702179198608,-41701055.36363636,209079034.9185525,20019441.0,-977447993.0,-917423218.0,-41701055.36363636,209079034.9185525,20019441.0,-977447993.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,184,0,0.0,0.0,48.0,56.0,51.5,2.449489742783178,6.0,0,0,0,0,0,0,0,0,0.0,53.73913043478261,51.30434782608695,0.0,0,0,0,325,6,0,4,236,0,0,0,0,22,8,120285.0,208306.8225406936,360817.0,12.0,11932777.6,5825611.418013374,20019441.0,5260323.0,1
0.87.248.248-3.0.0.0-0-0-0,0.87.248.248,0,3.0.0.0,0,0,18/07/2019 08:42:58 PM,119999457,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0250001131255118,59999728.5,77.07463914933368,59999783.0,59999674.0,119999457.0,59999728.5,77.07463914933368,59999783.0,59999674.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0250001131255118,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,59999728.5,77.07463914933368,59999783.0,59999674.0,1
8.6.0.1-8.0.6.4-0-0-0,8.6.0.1,0,8.0.6.4,0,0,18/07/2019 09:11:45 PM,102645344,285,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.776550683097716,361427.2676056337,3057039.599982748,16417321.0,-35211432.0,102645344.0,361427.2676056337,3057039.599982748,16417321.0,-35211432.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,2.776550683097716,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,4613865.5,49540.60819671071,4648896.0,4578835.0,14511678.0,2694986.175641352,16417321.0,12606035.0,1
0.0.0.0-255.255.255.255-68-67-17,0.0.0.0,68,255.255.255.255,67,17,18/07/2019 09:11:45 PM,103202398,104,0,30176.0,0.0,300.0,289.0,290.1538461538462,2.768649843639331,0.0,0.0,0.0,0.0,292.3963065276836,1.0077285219670962,1001965.0291262136,5196129.609450649,17574976.0,-34602328.0,103202398.0,1001965.0291262136,5196129.609450649,17574976.0,-34602328.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,832,0,1.0077285219670962,0.0,289.0,300.0,290.20952380952383,2.813754807586493,7.917216117216106,0,0,0,0,0,0,0,0,0.0,293.0,290.15384615384613,0.0,0,0,0,1163,4,858,2,685,0,0,0,0,103,8,4013191.0,698297.6449065255,4506962.0,3519420.0,15764010.0,2561092.6781965545,17574976.0,13953044.0,1
192.168.3.10-239.2.11.71-53569-8662-17,192.168.3.10,53569,239.2.11.71,8662,17,18/07/2019 09:12:24 PM,119735235,54,0,2752.0,0.0,56.0,48.0,50.962962962962976,2.354946323651906,0.0,0.0,0.0,0.0,22.98404475507982,0.4509950642348511,2259155.3773584906,10483928.558128277,59662864.0,-20529690.0,119735235.0,2259155.3773584906,10483928.558128277,59662864.0,-20529690.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,432,0,0.4509950642348511,0.0,48.0,56.0,50.909090909090914,2.367000972262919,5.602693602693604,0,0,0,0,0,0,0,0,0.0,51.851851851851855,50.96296296296296,0.0,0,0,0,378,7,-57,4,250,0,0,0,0,53,8,1722836.5,2436444.601915771,3445663.0,10.0,21904525.85714286,17201062.78804661,59662864.0,7727812.0,1
192.168.3.29-192.168.3.31-34788-9200-6,192.168.3.29,34788,192.168.3.31,9200,6,18/07/2019 09:11:48 PM,87360965,48,33,72483.0,5820.0,5792.0,0.0,1510.0624999999998,1614.786335991315,493.0,0.0,176.36363636363637,189.35331033906863,896.315648527921,0.92718756025646,1092012.0624999998,6183645.858625401,22024172.0,-29107401.0,87360965.0,1858743.936170213,8013278.785478924,22024172.0,-29107401.0,87320964.0,2728780.124999999,9638642.619820634,22033532.0,-29106980.0,1,0,0,0,1536,1056,0.5494444801519763,0.3777430801044837,0.0,5792.0,966.6829268292688,1398.7913202056573,1956617.1574826855,0,0,0,36,81,0,0,0,0.0,978.6172839506172,1510.0625,176.36363636363637,0,0,0,20615,8,-1210,3,5575,2,447,1444,6751,31,32,18852.000000000004,23883.68844211463,82398.0,6716.0,10630743.923076924,5101880.5703369565,22024172.0,6946546.0,1
0.87.248.248-3.0.0.0-0-0-0,0.87.248.248,0,3.0.0.0,0,0,18/07/2019 09:11:58 PM,59999714,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0500002383344694,29999857.0,42426204.63865344,59999714.0,0.0,59999714.0,29999857.0,42426204.63865344,59999714.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0500002383344694,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,59999714.0,0.0,59999714.0,59999714.0,1
8.6.0.1-8.0.6.4-0-0-0,8.6.0.1,0,8.0.6.4,0,0,18/07/2019 09:14:13 PM,91393691,186,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.035151419806428,494019.9513513512,395343.2592305797,2211988.0,15.0,91393691.0,494019.9513513512,395343.2592305797,2211988.0,15.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,2.035151419806428,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
0.0.0.0-255.255.255.255-68-67-17,0.0.0.0,68,255.255.255.255,67,17,18/07/2019 09:14:14 PM,90639094,66,0,19137.0,0.0,296.0,289.0,289.9545454545455,2.420628133241562,0.0,0.0,0.0,0.0,211.13406098256013,0.7281626182185802,1394447.6,1147866.969106623,4459736.0,377079.0,90639094.0,1394447.6,1147866.969106623,4459736.0,377079.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,528,0,0.7281626182185802,0.0,289.0,296.0,289.94029850746267,2.4050489632445693,5.784260515603778,0,0,0,0,0,0,0,0,0.0,294.3333333333333,289.95454545454544,0.0,0,0,0,1163,4,836,2,683,0,0,0,0,65,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
192.168.3.29-35.222.85.5-40274-80-6,192.168.3.29,40274,35.222.85.5,80,6,16/07/2019 08:12:19 PM,102793,4,4,87.0,148.0,87.0,0.0,21.75,43.5,148.0,0.0,37.0,74.0,2286.147889447725,77.82631113013532,14684.714285714284,24812.794439658785,51031.0,21.0,102745.0,34248.333333333336,29367.34047089272,51291.0,338.0,51762.0,17254.0,29575.83626881918,51405.0,69.0,0,0,0,0,136,136,38.91315556506766,38.91315556506766,0.0,148.0,26.11111111111111,54.01028708599049,2917.1111111111118,1,2,0,2,7,0,0,0,1.0,29.375,21.75,37.0,0,0,0,0,0,0,0,0,0,0,29200,229,1,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
192.168.3.29-35.222.85.5-40274-80-6,192.168.3.29,40274,35.222.85.5,80,6,16/07/2019 08:12:20 PM,-231,5,4,87.0,148.0,87.0,0.0,17.4,38.90758280849634,148.0,0.0,37.0,74.0,-1017316.0173160172,-38961.03896103896,-28.874999999999098,47535.65931994783,51031.0,-103024.0,-279.0,-69.75,72704.08401355456,51291.0,-103024.0,51762.0,17254.0,29575.83626881918,51405.0,69.0,0,0,0,0,168,136,0.0,0.0,0.0,148.0,23.5,51.58649694122161,2661.166666666667,2,2,0,2,8,0,0,0,0.0,26.11111111111111,17.4,37.0,0,0,0,0,0,0,0,0,0,0,60,229,1,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
206.207.50.50-192.168.3.29-41797-9001-6,206.207.50.50,41797,192.168.3.29,9001,6,16/07/2019 08:12:20 PM,705,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4255.31914893617,352.5,161.92745289171938,467.0,238.0,705.0,705.0,0.0,705.0,705.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,44,24,2836.8794326241136,1418.4397163120568,0.0,0.0,0.0,0.0,0.0,0,2,1,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1024,29200,0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
206.207.50.50-192.168.3.29-41797-9000-6,206.207.50.50,41797,192.168.3.29,9000,6,16/07/2019 08:12:20 PM,1049,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2859.866539561487,524.5,539.5224740453358,906.0,143.0,1049.0,1049.0,0.0,1049.0,1049.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,44,24,1906.5776930409916,953.2888465204956,0.0,0.0,0.0,0.0,0.0,0,2,1,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1024,29200,0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
206.207.50.50-192.168.3.29-41797-80-6,206.207.50.50,41797,192.168.3.29,80,6,16/07/2019 08:12:20 PM,1033,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2904.162633107454,516.5,492.8534264870236,865.0,168.0,1033.0,1033.0,0.0,1033.0,1033.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,44,24,1936.108422071636,968.054211035818,0.0,0.0,0.0,0.0,0.0,0,2,1,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1024,29200,0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
